idx	basket	amount_usdc_base	request_tx	request_block	submit_seconds	nonce
35	0xb2cbc4016a8155cd5b6be0c2683f937c73985e9bee24f6cb8e383f4967408757	5000000	0x1df000757457093eb1d9f0af1352f5e4c525c22ce8e4dd88a9560efae0eb9ff6	-	22	380
38	0xb2cbc4016a8155cd5b6be0c2683f937c73985e9bee24f6cb8e383f4967408757	50000000	0x9ead9ca6d31064d2139dc7fc64c17c2fa20ae6c80cad3315bcd5b4e401731bf4	-	22	383
31	0x74491929c2f72408e48b338222172a8a07d8c3087617d09881d00d72278eb6c1	10000000	0xf940caee54e97ae0a36c8bbdef4ff3a52c48e5ecd4b959fa83d4603540d49f7d	-	22	376
32	0xb2cbc4016a8155cd5b6be0c2683f937c73985e9bee24f6cb8e383f4967408757	25000000	0xed9803505efd49aa838c040dc9cc9e8c092eac17e38d47687591df3640503a38	-	22	377
39	0x1fbfef9aa7f4e8f8bd84b940396c9263c0c2ac2212f53759ceb3b71aaeed43fe	100000000	0x3ffa25c3292f367ca7526fca7872793bd499e72963194c6df93f644eaf3fc18e	-	22	384
37	0x74491929c2f72408e48b338222172a8a07d8c3087617d09881d00d72278eb6c1	25000000	0x3189626a56e602375834e1f3544754f5ae51d8208414d6d1d6e1d2c8f615677d	-	22	382
36	0x1fbfef9aa7f4e8f8bd84b940396c9263c0c2ac2212f53759ceb3b71aaeed43fe	10000000	0xda5be6a4b062c949b0a6e0341dc31ec3a4a7d4ed1dd899739d36a3bdddef0ccd	-	22	381
33	0x1fbfef9aa7f4e8f8bd84b940396c9263c0c2ac2212f53759ceb3b71aaeed43fe	50000000	0x42b186b3cc10aef2e9fe4b7e94e21dd100e6abebe1ac8ee9249ee4f4824e236e	-	22	378
34	0x74491929c2f72408e48b338222172a8a07d8c3087617d09881d00d72278eb6c1	100000000	0x2dde0e499bf0d9c7a42362a3eb6c808ce92cb77b6932020ed3361100f447cf25	-	22	379
30	0x1fbfef9aa7f4e8f8bd84b940396c9263c0c2ac2212f53759ceb3b71aaeed43fe	5000000	0xf9f95e5d4e816eca68dd7e23fb8e71b488c42e6abb4928cadbd75a81e6f41c57	-	24	375
44	0xb2cbc4016a8155cd5b6be0c2683f937c73985e9bee24f6cb8e383f4967408757	100000000	0xe40616d252aff93243e3e02345c20cb747991dd6eed60d33f53292adec5cc456	-	11	389
48	0x1fbfef9aa7f4e8f8bd84b940396c9263c0c2ac2212f53759ceb3b71aaeed43fe	50000000	0x6bd1a0b3fb6e3d0a320b079233387827f2e93c8f23aaf240184385d6f401e429	-	11	393
47	0xb2cbc4016a8155cd5b6be0c2683f937c73985e9bee24f6cb8e383f4967408757	25000000	0xb0be50a0575874cb2902d07b0ed44af1210f91d3c4c6ccc0aea4a16f11f6e80f	-	11	392
43	0x74491929c2f72408e48b338222172a8a07d8c3087617d09881d00d72278eb6c1	50000000	0xba4af06e454ef5c608365a4be15e307dc1bc7e1318560807f2629bafadf7f674	-	11	388
40	0x74491929c2f72408e48b338222172a8a07d8c3087617d09881d00d72278eb6c1	5000000	0xb8e7bd0a0a499b657bc80c47ec76ced05d7c5cab28769e0a383d79e7307bbe62	-	11	385
42	0x1fbfef9aa7f4e8f8bd84b940396c9263c0c2ac2212f53759ceb3b71aaeed43fe	25000000	0xcd96ae2525a4598128c8f7d419c22a12bdfaf75f757eec4b535b5484716786d0	-	11	387
41	0xb2cbc4016a8155cd5b6be0c2683f937c73985e9bee24f6cb8e383f4967408757	10000000	0x0dd52a2f7e8a59190a8bce19b60bd37eb55df2032dfaa479c0bf9ef4361dfb19	-	12	386
45	0x1fbfef9aa7f4e8f8bd84b940396c9263c0c2ac2212f53759ceb3b71aaeed43fe	5000000	0x44683d44fd155c18de5e83bda9b94ce6732b2a0238dd7715842284f0ecbda655	-	12	390
46	0x74491929c2f72408e48b338222172a8a07d8c3087617d09881d00d72278eb6c1	10000000	0x97379eb81e9213efcfbd43d249594d2b8adfb9006d0bb4d8068e4446893f99a7	-	12	391
49	0x74491929c2f72408e48b338222172a8a07d8c3087617d09881d00d72278eb6c1	100000000	0x31349f427af10e77012acecd087ebd797d8d0206ca18ce3964e869fa6979fda6	-	12	394
53	0xb2cbc4016a8155cd5b6be0c2683f937c73985e9bee24f6cb8e383f4967408757	50000000	0x53bbec355797e92958339051c7b9be52f1ee29ce05ce6af3836f6ee6e6f28297	-	11	398
56	0xb2cbc4016a8155cd5b6be0c2683f937c73985e9bee24f6cb8e383f4967408757	10000000	0xad8cb49623c9d589cac7b1747662da9802cdb4b2a67d64de44f3e13e707df920	-	11	401
55	0x74491929c2f72408e48b338222172a8a07d8c3087617d09881d00d72278eb6c1	5000000	0x78d9801cf114424ea1e270234488c6cd02ff6519dafdee05fd280dcb3e7f48b4	-	11	400
51	0x1fbfef9aa7f4e8f8bd84b940396c9263c0c2ac2212f53759ceb3b71aaeed43fe	10000000	0x443adbff2b59e40ef7c30ea12bb1019aeb5253d3d0b729821b29e151fee2e40f	-	11	396
58	0x74491929c2f72408e48b338222172a8a07d8c3087617d09881d00d72278eb6c1	50000000	0xd278fb40f31e041040130dd04fef3d4204385060b22203510ab0cc1b016c7cd0	-	11	403
57	0x1fbfef9aa7f4e8f8bd84b940396c9263c0c2ac2212f53759ceb3b71aaeed43fe	25000000	0x457c9b20d7b80ba83ce0601fb27f3967d6345abf144e51a9b0371838cd4a24cc	-	11	402
54	0x1fbfef9aa7f4e8f8bd84b940396c9263c0c2ac2212f53759ceb3b71aaeed43fe	100000000	0x040476d4c669d9c479b13085971ee76d617dfa31fc6a22c52c355cd14aa1cf9d	-	11	399
52	0x74491929c2f72408e48b338222172a8a07d8c3087617d09881d00d72278eb6c1	25000000	0xdb1636f89313eb7d6317edbb438a39401de7bf979ddac2f41717f9de5b15c997	-	11	397
50	0xb2cbc4016a8155cd5b6be0c2683f937c73985e9bee24f6cb8e383f4967408757	5000000	0xb0219f868080e5f3746eb7ace7a4e0bb864e256323984571ef24f12047ec6ad5	-	12	395
59	0xb2cbc4016a8155cd5b6be0c2683f937c73985e9bee24f6cb8e383f4967408757	100000000	0xce2005039297f67c5ebaa6c3fb51223f4dcfa611d1671b5054b3f42df94a1ffa	-	11	404
60	0x1fbfef9aa7f4e8f8bd84b940396c9263c0c2ac2212f53759ceb3b71aaeed43fe	5000000	0x47f5ad9b7223da4e31ebff20b20650fabbac3916fbaafff7ff35c9d790de2ce5	-	13	405
